Mods count: 141
 
                                   jar name                                     |    notes     |               mod id                |                    mod name                     |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
--------------------------------------------------------------------------------+--------------+-------------------------------------+-------------------------------------------------+--------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.222 (modloader)                                                   |              | neoforge                            | neoforge                                        | neoforge-21.1.222              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
amendments-1.21-2.0.15-neoforge.jar                                             |              | amendments                          | Amendments                                      | 1.21-2.0.15                    | amendments-common.mixins.json, amendments.mixins.json                                                                                                                                                                                                                                                                                                               | 00056f29646f3bf86116b281c2362c0dabdb4533 | 1748391263     
appleskin-neoforge-mc1.21-3.0.9.jar                                             |              | appleskin                           | AppleSkin                                       | 3.0.9+mc1.21                   |                                                                                                                                                                                                                                                                                                                                                                     | 81cf0e668f991f83ac8820c386fbd6c9c3602246 | 3551532297     
architectury-13.0.8-neoforge.jar                                                |              | architectury                        | Architectury                                    | 13.0.8                         | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                           | 6ca11d3cc136bf69bb8f4d56982481eb85b5100b | 418634412      
ArmorStatues-v21.1.0-1.21.1-NeoForge.jar                                        |              | armorstatues                        | Armor Statues                                   | 21.1.0                         | armorstatues.neoforge.mixins.json, armorstatues.common.mixins.json                                                                                                                                                                                                                                                                                                  | ea74e8434f23b618d3298afda8cad1ccb76f0a94 | 2558272330     
    /META-INF/jars/statuemenus-neoforge-21.1.0.jar                              |              | statuemenus                         | Statue Menus                                    | 21.1.0                         | statuemenus.common.mixins.json, statuemenus.neoforge.mixins.json                                                                                                                                                                                                                                                                                                    |                                          |                
athena-neoforge-1.21-4.0.3.jar                                                  |              | athena                              | Athena                                          | 4.0.3                          | athena.mixins.json, athena-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                     | f18bdfe934b6416d9d5f2360b4cb89e4a0a67925 | 1119485805     
BadOptimizations-2.4.1-1.21.1.jar                                               |              | badoptimizations                    | BadOptimizations                                | 2.4.1                          | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                             | 1461d8e46391efd32a3085150e86094c9f6f5c9d | 3053351722     
baguettelib-1.21.1-NeoForge-2.0.3.jar                                           |              | baguettelib                         | BaguetteLib                                     | 2.0.3                          | baguettelib.mixins.json                                                                                                                                                                                                                                                                                                                                             | e01709c880b0602b7a306201a25866e76c44f5c0 | 664412636      
balm-neoforge-1.21.1-21.0.56.jar                                                |              | balm                                | Balm                                            | 21.0.56                        | balm.neoforge.mixins.json, balm.mixins.json                                                                                                                                                                                                                                                                                                                         | 635e706136bb228e6a72d41d86dec495f812ccb5 | 676882642      
    /META-INF/jarjar/kuma-api-neoforge-21.0.7+1.21.jar                          |              | kuma_api                            | KumaAPI                                         | 21.0.7                         | kuma_api.neoforge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                 |                                          |                
bellsandwhistles-0.4.7-1.21.1.jar                                               |              | bellsandwhistles                    | Create: Bells & Whistles                        | 0.4.7-1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                     | 85944080f8bd47dad64a8193a70662cd9ddbb200 | 2624670150     
BetterF3-11.0.3-NeoForge-1.21.1.jar                                             |              | betterf3                            | BetterF3                                        | 11.0.3                         | betterf3.mixins.json, betterf3.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                 | 8fa17df26d3650416bc124be7a264bc1566a3b26 | 2574672049     
bits_n_bobs-0.0.44.jar                                                          |              | bits_n_bobs                         | Create Bits 'n' Bobs                            | 0.0.44                         | bits_n_bobs.mixins.json                                                                                                                                                                                                                                                                                                                                             | 2d577eb7e47b860fc32e4ebd33405715252c5072 | 3324646954     
block_factorys_bosses-2.0.12-neo-1.21.1.jar                                     |              | block_factorys_bosses               | Bosses'Rise                                     | 2.0.12                         | block_factorys_bosses.mixins.json                                                                                                                                                                                                                                                                                                                                   | 4d0da6d81b445bdeb10308fec7a5dd8c7e3a4d8f | 734912389      
bookshelf-neoforge-1.21.1-21.1.81.jar                                           |              | bookshelf                           | Bookshelf                                       | 21.1.81                        | bookshelf.neoforge.mixins.json, bookshelf.mixins.json                                                                                                                                                                                                                                                                                                               | efc4cda6da4dd879f24d057ed0a6413764c9ba40 | 2267427357     
carryon-neoforge-1.21.1-2.2.4.4.jar                                             |              | carryon                             | Carry On                                        | 2.2.4                          | carryon.mixins.json, carryon.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                   | 774bf57a199784c35e74f2d619d6001c87185a11 | 4049909642     
chat_heads-0.15.1-neoforge-1.21.jar                                             |              | chat_heads                          | Chat Heads                                      | 0.15.1                         | chat_heads.mixins.json, chat_heads.neoforge.mixins.json                                                                                                                                                                                                                                                                                                             | 650ff9d879051196c8c46b5718342db46c745cc9 | 3209447745     
chipped-neoforge-1.21.1-4.0.2.jar                                               |              | chipped                             | Chipped                                         | 4.0.2                          | chipped-common.mixins.json                                                                                                                                                                                                                                                                                                                                          | 6f5395f58139802edfde7cb9170279f92f291971 | 527531260      
Controlling-neoforge-1.21.1-19.0.5.jar                                          |              | controlling                         | Controlling                                     | 19.0.5                         | controlling.mixins.json, controlling.neoforge.mixins.json                                                                                                                                                                                                                                                                                                           | 8a34424fc1428778be2fdbfa4da67b21b70bcbfe | 1306717928     
copperagebackport-neoforge-1.21.1-0.1.4.jar                                     |              | copperagebackport                   | Copper Age Backport                             | 0.1.4                          | copperagebackport.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                              | 9892ad37739b62e330274ca51648b00a7ac51114 | 2356928286     
copycats-3.0.4+mc.1.21.1-neoforge.jar                                           |              | copycats                            | Create: Copycats+                               | 3.0.4+mc.1.21.1-neoforge       | copycats-common.mixins.json, copycats-neoforge.mixins.json                                                                                                                                                                                                                                                                                                          | 6a11d5806bcf521e08faba1ee6ef5f31af55ca0f | 3112677890     
coroutil-neoforge-1.21.0-1.3.8.jar                                              |              | coroutil                            | CoroUtil                                        | 1.21.0-1.3.8                   | coroutil.mixins.json, coroutil_fabric.mixins.json                                                                                                                                                                                                                                                                                                                   | b044c51d00d60b5645a0c0890812935cd933555f | 3962119445     
corpse-neoforge-1.21.1-1.1.13.jar                                               |              | corpse                              | Corpse                                          | 1.21.1-1.1.13                  |                                                                                                                                                                                                                                                                                                                                                                     | a735362c4e5ef705956f1fcbac01fb9f1aae5b8e | 2486282644     
corpsecurioscompat-1.21.1-NeoForge-3.1.3.jar                                    |              | corpsecurioscompat                  | Corpse Curios Compatibility                     | 3.1.3                          | corpsecurioscompat.mixins.json                                                                                                                                                                                                                                                                                                                                      | 2aa5e83940a26c6e529e58a3a8a0260df3078c6d | 2638912561     
cosmeticarmorreworked-1.21.1-v1-neoforge.jar                                    |              | cosmeticarmorreworked               | CosmeticArmorReworked                           | 1.21.1-v1-neoforge             |                                                                                                                                                                                                                                                                                                                                                                     | 5f1e699cd0888b857ec63f01adaeb3571848bfea | 499008780      
cosmeticcorpsecompat-1.21.1-NeoForge--1.0.0.jar                                 |              | cosmeticcorpsecompat                | cosmeticcorpsecompat                            | 1.0.0                          | cosmeticcorpsecompat.mixins.json                                                                                                                                                                                                                                                                                                                                    | c9a4c265a2ca4ab2db0ab0c673d7b9978b0086aa | 599580683      
craftingtweaks-neoforge-1.21.1-21.1.7.jar                                       |              | craftingtweaks                      | Crafting Tweaks                                 | 21.1.7                         | craftingtweaks.neoforge.mixins.json, craftingtweaks.mixins.json                                                                                                                                                                                                                                                                                                     | 4717e32cc9d21022e85c6e51771fb69be8e40ff4 | 3992681805     
CrashAssistant-neoforge-1.20.6-1.21.4-1.11.6.jar                                |              | crash_assistant                     | Crash Assistant                                 | 1.11.6                         | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                   | 5ff8b4cfef095dd84161168ffd33dd155115e95e | 984536650      
